freq nodes threads/node time mpipercent
 2601.000 1 16 25.88 0.00
 2601.000 1 12 31.00 0.00
 2601.000 1 8 44.26 0.00
 2601.000 1 4 84.62 0.00
 2601.000 2 16 16.67 6.72
 2601.000 2 12 15.91 0.70
 2601.000 2 8 22.51 0.94
 2601.000 2 4 42.47 0.07
 2601.000 4 16 8.37 3.62
 2601.000 4 12 8.49 5.87
 2601.000 4 8 11.35 1.05
 2601.000 4 4 21.28 0.34
 2601.000 8 16 4.24 3.86
 2601.000 8 12 3.28 2.15
 2601.000 8 8 5.70 1.41
 2601.000 8 4 10.75 1.31
 2601.000 16 16 2.15 4.17
 2601.000 16 12 1.70 4.66
 2601.000 16 8 2.88 2.36
 2601.000 16 4 5.42 1.83
 2601.000 32 16 0.44 99.02
 2601.000 32 12 0.03 88.75
 2601.000 32 8 1.50 5.29
 2601.000 32 4 2.81 4.64
 2601.000 64 16 0.45 99.17
 2601.000 64 12 0.03 90.05
 2601.000 64 8 0.06 93.58
 2601.000 64 4 1.43 6.60
 2601.000 128 16 1.43 99.74
 2601.000 128 12 0.04 90.97
 2601.000 128 8 0.04 90.94
 2601.000 128 4 0.04 91.04
