freq nodes threads/node time mpipercent
 2601.000 1 16 25.79 0.00
 2601.000 1 12 31.36 0.00
 2601.000 1 8 44.55 0.00
 2601.000 1 4 85.08 0.00
 2601.000 2 16 16.90 9.55
 2601.000 2 12 16.45 4.91
 2601.000 2 8 22.44 0.26
 2601.000 2 4 42.43 0.28
 2601.000 4 16 8.14 1.72
 2601.000 4 12 8.34 3.28
 2601.000 4 8 11.38 1.15
 2601.000 4 4 21.32 0.24
 2601.000 8 16 4.24 2.85
 2601.000 8 12 3.42 4.94
 2601.000 8 8 5.69 0.78
 2601.000 8 4 10.85 1.64
 2601.000 16 16 2.15 5.47
 2601.000 16 12 1.72 5.42
 2601.000 16 8 2.89 2.21
 2601.000 16 4 5.43 1.85
